repetition,host,arch,system,name,nthreads,nb_ops,latency
3,eliza,mte,CLHT,read,64,50000000,317.02
1,eliza,mte,btree,YCSB-D,1,10000000,749.289130126
3,eliza,mte,linklist,YCSB-D,1,10000,1671648.6730400003
4,eliza,aarch64,linklist,YCSB-B,1,25000,1707559.4517192002
0,eliza,aarch64,skiplist,YCSB-D,1,3000000,2919.8086945
4,eliza,aarch64,skiplist,scan,1,1000000,38670.82
1,eliza,aarch64,btree,YCSB-B,1,10000000,759.550475945
3,eliza,mte,queue,queue_bench,192,5000000,8330.220
1,eliza,aarch64,btree,read,1,10000000,938.03
0,eliza,aarch64,linklist,YCSB-C,1,25000,1816163.17
3,eliza,mte,skiplist,YCSB-D,1,3000000,2997.727944943333
1,eliza,aarch64,skiplist,read,1,3000000,3627.85
0,eliza,mte,ART,scan,1,100000,324585.32
1,eliza,mte,ART,read,1,3000000,1627.57
1,eliza,aarch64,queue,queue_bench,16,50000000,1123.824
2,eliza,aarch64,queue,queue_bench,64,10000000,3793.450
0,eliza,mte,skiplist,insert,1,1000000,5967.23
0,eliza,aarch64,btree,read,1,10000000,937.77
3,eliza,aarch64,skiplist,read,1,3000000,3618.54
2,eliza,aarch64,linklist,YCSB-B,1,25000,1708919.660356
1,eliza,mte,CLHT,YCSB-C,192,60000000,79880.35
2,eliza,aarch64,btree,insert,1,10000000,1065.68
2,eliza,aarch64,CLHT,YCSB-C,16,50000000,265.26
2,eliza,aarch64,ART,YCSB-C,1,3000000,1215.5
3,eliza,aarch64,CLHT,YCSB-C,1,5000000,222.06
0,eliza,mte,skiplist,YCSB-D,1,3000000,2994.82692884
0,eliza,aarch64,skiplist,read,1,3000000,3635.23
3,eliza,aarch64,skiplist,YCSB-E,1,1000000,5608.313142579999
3,eliza,mte,btree,update,1,10000000,1238.33
1,eliza,mte,ART,insert,1,1000000,4942.79
0,eliza,aarch64,btree,update,1,10000000,1128.22
3,eliza,mte,CLHT,YCSB-C,1,5000000,240.06
2,eliza,aarch64,queue,queue_bench,16,50000000,820.230
2,eliza,aarch64,skiplist,read,1,3000000,3614.44
3,eliza,mte,ART,YCSB-E,1,300000,41166.886780166664
2,eliza,mte,btree,YCSB-C,1,10000000,825.27
1,eliza,mte,ART,YCSB-C,1,3000000,1280.37
4,eliza,aarch64,ART,read,1,3000000,1546.05
3,eliza,mte,skiplist,YCSB-C,1,3000000,3073.36
4,eliza,mte,CLHT,insert,64,50000000,16781.12
2,eliza,aarch64,linklist,YCSB-A,1,25000,1946922.6693984
1,eliza,aarch64,linklist,insert,1,1000000,2712.09
0,eliza,aarch64,queue,queue_bench,16,50000000,937.988
2,eliza,mte,CLHT,insert,16,50000000,4700.71
2,eliza,mte,ART,YCSB-D,1,3000000,1281.6019687266667
4,eliza,aarch64,CLHT,read,16,50000000,331.33
4,eliza,aarch64,linklist,YCSB-F,1,10000,705080.5702749095
1,eliza,aarch64,ART,scan,1,100000,269040.64
0,eliza,mte,linklist,YCSB-B,1,25000,2416085.101488
3,eliza,mte,linklist,insert,1,1000000,3955.64
0,eliza,aarch64,skiplist,YCSB-C,1,3000000,3162.99
2,eliza,mte,CLHT,read,64,50000000,325.24
4,eliza,aarch64,CLHT,insert,192,50000000,72965.26
2,eliza,mte,skiplist,read,1,3000000,3680.21
1,eliza,mte,btree,YCSB-A,1,10000000,925.1206956259998
1,eliza,mte,queue,queue_bench,192,5000000,7809.520
1,eliza,aarch64,CLHT,read,192,60000000,74797.15
1,eliza,aarch64,skiplist,YCSB-D,1,3000000,3351.5083377166666
0,eliza,mte,btree,read,1,10000000,1022.61
1,eliza,mte,ART,YCSB-D,1,3000000,1283.323928
2,eliza,aarch64,linklist,YCSB-C,1,25000,2083990.38
0,eliza,aarch64,CLHT,read,64,50000000,310.73
4,eliza,mte,ART,YCSB-D,1,3000000,1282.7443289866667
2,eliza,mte,btree,scan,1,10000000,1022.52
1,eliza,mte,skiplist,YCSB-E,1,1000000,5591.95242315
3,eliza,aarch64,CLHT,insert,192,50000000,97889.76
0,eliza,mte,btree,scan,1,10000000,996.92
1,eliza,aarch64,CLHT,insert,192,50000000,79303.78
3,eliza,mte,CLHT,insert,64,50000000,15979.04
0,eliza,aarch64,CLHT,YCSB-C,64,50000000,277.98
4,eliza,aarch64,btree,scan,1,10000000,961.92
0,eliza,mte,linklist,YCSB-E,1,25000,2485768.3498331998
1,eliza,mte,CLHT,insert,64,50000000,18813.73
4,eliza,mte,linklist,update,1,25000,3309782.64
